id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lold_abs_err,Lyoung_abs__Lsol,Lyoung_abs_err,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2,t
NGC4411A,0.1535,0.02304,1374000000,390400000,3076000000,153800000,2473000000,123700000,603400000,90540000,249100000,0,291700000,0,0.607,0.069,0.121,0.037,1804000,428400,540800000,33810000,1.484,0.395,19.59,0.901,0.08,0.025,0.003,0.003,0.937,5.4
NGC4412,2.698,0.2096,14870000000,3046000000,32640000000,1632000000,22040000000,1102000000,10610000000,823900000,4912000000,0,8674000000,0,1.677,0.097,0.284,0.052,7637000,1451000,13590000000,679300000,7.341,1.896,25.82,1.152,0.06,0.003,0.019,0.006,0.996,3.2
NGC4413,0.141,0.02725,2721000000,316300000,5270000000,263500000,4715000000,235800000,554300000,107100000,811800000,0,421300000,0,1.344,0.096,0.25,0.035,2584000,253300,1233000000,61660000,2.09,0.358,20.79,0.615,0.096,0.012,0.007,0.002,0.83,2.1
NGC4415,0.001083,0.000636,4261000000,437400000,2546000000,127300000,2542000000,127100000,4258000,2500000,17140000,0,455800,0,0.064,0.074,0.014,0.015,23050,61620,17600000,19170000,19.34,25.28,30.52,6.889,0.209,0.118,0.101,0.155,0.67,-0.9
NGC4416,1.622,0.2165,9976000000,1428000000,27240000000,1362000000,20870000000,1078000000,6373000000,850900000,3497000000,0,4678000000,0,1.183,0.096,0.212,0.063,15230000,2981000,8175000000,508400000,2.527,0.716,21.48,1.052,0.105,0.022,0.004,0.003,1.089,5.9
NGC4417,0.004942,0.003378,23240000000,5187000000,13320000000,665800000,13300000000,664800000,19420000,13280000,99900000,0,2285000,0,0.076,0.04,0.016,0.006,54400,141800,102200000,38860000,33.04,27.25,33.48,4.769,0.172,0.107,0.021,0.063,0.444,-1.9
NGC4419,0.2691,0.1878,27060000000,3553000000,25700000000,1285000000,24640000000,1232000000,1058000000,738300000,7395000000,0,971400000,0,3.083,0.492,0.681,0.054,5577000,963200,8366000000,735000000,5.664,1.49,24.69,1.122,0.049,0.018,0.028,0.009,0.887,1.2
NGC4423,0.1899,0.01976,1467000000,307700000,3267000000,163400000,2521000000,126100000,746300000,77660000,282100000,0,411800000,0,0.723,0.105,0.14,0.035,3661000,995800,693900000,86140000,0.914,0.314,18.02,1.068,0.05,0.032,0.009,0.008,0.628,7.8
NGC4424,0.008698,0.004896,409000000,84000000,695700000,34780000,661500000,33080000,34190000,19240000,146600000,0,29320000,0,1.807,0.241,0.372,0.049,80050,13350,176000000,8975000,9.506,1.451,27,0.712,0.06,0.003,0.013,0.004,0.562,0.9
NGC4425,0.0006962,0.0004332,9950000000,594700000,6657000000,332900000,6655000000,332700000,2736000,1702000,2413000,0,23470,0,0.004,0.01,0.001,0.002,5645,37040,2437000,7099000,15.08,23.25,29.24,7.786,0.201,0.119,0.086,0.145,0.569,-0.6
NGC4429,0.0612,0.02832,80690000000,6113000000,29830000000,1492000000,29590000000,1480000000,240500000,111300000,1149000000,0,127200000,0,0.567,0.189,0.09,0.011,1097000,354100,1276000000,123600000,5.772,1.967,24.77,1.458,0.109,0.037,0.004,0.005,0.961,-0.8
NGC4430,1.712,0.2238,22080000000,5131000000,34650000000,1733000000,27920000000,1396000000,6727000000,879400000,4426000000,0,4927000000,0,1.206,0.159,0.231,0.054,20180000,3123000,9352000000,1060000000,2.225,0.619,21.01,1.01,0.086,0.03,0.003,0.003,0.784,3.5
NGC4434,0.004427,0.002332,15050000000,2236000000,9706000000,485300000,9689000000,484400000,17400000,9164000,43570000,0,1390000,0,0.049,0.046,0.009,0.008,83020,177900,44960000,40330000,15.88,22.81,29.5,7.32,0.191,0.117,0.064,0.126,0.331,-4.7
NGC4435,0.002825,0.002098,29820000000,1491000000,20030000000,1002000000,20020000000,1001000000,11100000,8247000,1438000000,0,7329000,0,0.801,0.119,0.166,0.008,1150000,64570,1445000000,72260000,6.05,0.444,24.97,0.317,0.057,0.01,0.002,0.002,1.143,-2.1
NGC4436,0.0007368,0.0005567,3241000000,278200000,2120000000,106000000,2117000000,105900000,2896000,2188000,44240000,0,808400,0,0.195,0.115,0.044,0.02,766900,629700,45050000,20720000,2.137,8.591,20.87,14.49,0.206,0.097,0.013,0.048,1.252,-1.8
NGC4437,0.455,0.1035,8940000000,1817000000,10710000000,535500000,8922000000,450700000,1788000000,406700000,2286000000,0,1491000000,0,2.071,0.201,0.45,0.084,13770000,1201000,3777000000,188900000,1.236,0.17,18.98,0.45,0.106,0.018,0.004,0.002,0.266,6
NGC4438,0.1629,0.05365,29000000000,4075000000,14850000000,742300000,14210000000,710300000,640200000,210900000,1518000000,0,484900000,0,1.389,0.302,0.235,0.029,2812000,140600,2003000000,100100000,3.5,0.175,22.72,0.196,0.06,0.003,0,0,0.486,0.6
NGC4440,0.002331,0.001318,16600000000,2231000000,7837000000,391900000,7828000000,391400000,9161000,5179000,16080000,0,374100,0,0.023,0.027,0.004,0.005,30290,108000,16450000,19200000,18.6,25.08,30.32,7.061,0.209,0.117,0.079,0.139,0.712,1.1
NGC4442,0.006786,0.006797,53730000000,5486000000,22890000000,1145000000,22860000000,1143000000,26670000,26710000,148800000,0,2806000,0,0.066,0.031,0.014,0.005,1022000,975700,151600000,46690000,2.897,10.16,21.99,13.32,0.18,0.107,0.091,0.12,0.13,-1.9
NGC4445,0.03492,0.01944,5739000000,998000000,4259000000,212900000,4121000000,206100000,137300000,76400000,550600000,0,103100000,0,1.235,0.255,0.264,0.034,1898000,432200,653600000,44740000,1.664,0.398,19.98,0.826,0.123,0.035,0.001,0.001,0.351,2
