id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lold_abs_err,Lyoung_abs__Lsol,Lyoung_abs_err,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2,t
NGC1617,0.02432,0.02023,45350000000,10890000000,21730000000,1086000000,21630000000,1082000000,95570000,79490000,938300000,0,45100000,0,0.473,0.146,0.097,0.011,4503000,660000,983400000,66800000,1.078,0.185,18.54,0.55,0.08,0.025,0,0.001,0.836,1.1
NGC1705,0.08123,0.005634,247600000,85650000,789900000,39490000,470600000,37780000,319200000,22140000,25130000,0,68700000,0,0.226,0.027,0.052,0.017,69900,25300,93830000,7583000,7.339,3.62,25.82,2.2,0.024,0.013,0.006,0.003,0.378,-2.7
NGC1800,0.0565,0.00822,462600000,179500000,981500000,50550000,759500000,77760000,222000000,32310000,63910000,0,97820000,0,0.517,0.056,0.102,0.026,199700,36500,161700000,10250000,4.034,1.054,23.28,1.051,0.06,0.003,0.003,0.002,0.633,8
NGC1808,4.91,1.028,41820000000,13170000000,69670000000,3483000000,50370000000,3780000000,19300000000,4040000000,26960000000,0,17490000000,0,4.014,0.206,1.242,0.144,15540000,1218000,44440000000,2871000000,10.63,2.012,27.53,0.899,0.02,0.001,0.031,0.002,1.149,1.2
NGC1924,2.298,0.9613,17160000000,5222000000,32430000000,3534000000,23400000000,1569000000,9030000000,3778000000,6331000000,0,6712000000,0,1.961,0.86,0.417,0.178,9824000,1222000,13040000000,749400000,5.667,0.867,24.69,0.653,0.047,0.02,0.014,0.006,0.343,4
NGC2110,0.7368,1.143,172200000000,69280000000,106400000000,16360000000,103500000000,14060000000,2896000000,4490000000,17840000000,0,1906000000,0,1.675,0.835,0.418,0.187,5890000,1829000,19750000000,2241000000,8.504,4.356,26.49,2.343,0.186,0.05,0.104,0.097,0.677,-3
NGC2146,39.01,11.56,119500000000,34260000000,380400000000,63030000000,227100000000,23030000000,153300000000,45430000000,149100000000,0,142400000000,0,5.211,0.845,1.605,0.28,58020000,10920000,291500000000,66750000000,22.2,9.011,31.26,2.192,0.024,0.012,0.022,0.007,2.515,2.3
NGC2207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.6
NGC2273,1.665,0.61,61110000000,15960000000,52640000000,2632000000,46100000000,2964000000,6544000000,2397000000,13170000000,0,5865000000,0,2.61,0.324,0.615,0.094,11280000,3674000,19040000000,1725000000,4.956,1.835,24.13,1.543,0.021,0.006,0.077,0.045,0.797,0.9
NGC2403,0.7322,0.05361,2968000000,501300000,10320000000,516100000,7443000000,372200000,2878000000,210700000,1326000000,0,1882000000,0,1.036,0.122,0.209,0.039,4415000,410700,3208000000,194400000,3.549,0.498,22.78,0.552,0.06,0.005,0.001,0.001,1.257,6
NGC2480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.3
NGC2481,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.3
NGC2549,0.002069,0.001357,18410000000,1761000000,8460000000,423000000,8452000000,422600000,8130000,5333000,63260000,0,971700,0,0.075,0.042,0.016,0.007,611700,511700,64230000,28690000,1.601,3.931,19.85,8.417,0.043,0.04,0.01,0.022,0.461,-2
NGC2577,0.007451,0.00921,74950000000,9476000000,30720000000,1536000000,30690000000,1534000000,29290000,36200000,398300000,0,6079000,0,0.128,0.095,0.029,0.018,245100,513100,404400000,244700000,25.86,25.14,32.09,5.39,0.129,0.103,0.03,0.085,0.368,-2.9
NGC2592,0.006513,0.004123,28790000000,1998000000,11790000000,589700000,11770000000,588400000,25600000,16200000,23120000,0,1006000,0,0.024,0.032,0.004,0.006,48510,164400,24130000,31900000,17.05,24.23,29.87,7.333,0.2,0.118,0.082,0.142,0.45,-4.8
NGC2655,0.07744,0.01941,33400000000,2663000000,13730000000,686600000,13430000000,671400000,304400000,76280000,806000000,0,157100000,0,0.655,0.179,0.133,0.019,3038000,655600,963100000,103400000,1.393,0.429,19.38,1.031,0.154,0.046,0.007,0.008,1.59,0.1
NGC2679,0.007896,0.003399,21760000000,2887000000,13970000000,698400000,13940000000,696800000,31030000,13360000,75510000,0,2564000,0,0.057,0.054,0.011,0.01,144300,338300,78080000,70690000,14.98,22.43,29.21,7.551,0.218,0.117,0.104,0.157,0.771,-1.9
NGC2685,0.08309,0.02578,11280000000,1739000000,8386000000,419300000,8060000000,403000000,326600000,101300000,554600000,0,193600000,0,0.725,0.132,0.13,0.023,4171000,818900,748200000,62490000,0.765,0.197,17.47,0.778,0.169,0.025,0.007,0.006,0.817,-1
NGC2764,1.866,0.4342,12230000000,2564000000,31300000000,1565000000,23970000000,1229000000,7333000000,1706000000,9999000000,0,6817000000,0,3.696,0.329,0.769,0.083,11470000,1453000,16820000000,1513000000,6.159,1.492,25.05,1.048,0.061,0.011,0.016,0.005,0.557,-1.7
NGC2768,0.03176,0.01736,149900000000,33860000000,72420000000,3621000000,72300000000,3615000000,124800000,68210000,613300000,0,17140000,0,0.091,0.042,0.018,0.005,116000,88240,630400000,156200000,33.99,21.54,33.65,3.683,0.237,0.099,0.004,0.008,1.602,-4.4
NGC2778,0.01136,0.005334,16720000000,2002000000,7066000000,353300000,7021000000,351100000,44640000,20960000,18390000,0,1945000,0,0.034,0.052,0.006,0.009,25800,80120,20340000,31860000,17.23,23.75,29.92,7.123,0.162,0.12,0.071,0.134,0.664,-4.7
NGC2787,0.002416,0.002413,15580000000,1855000000,6152000000,307600000,6143000000,307100000,9494000,9484000,36390000,0,907600,0,0.061,0.04,0.013,0.007,21950,72520,37290000,20260000,28.99,24.51,32.74,4.778,0.159,0.11,0.013,0.056,1.417,-1
NGC2798,5.037,0.5659,13660000000,3643000000,48270000000,2427000000,28480000000,1424000000,19800000000,2224000000,16450000000,0,18270000000,0,4.569,0.228,1.139,0.074,6291000,920500,34720000000,2255000000,22.93,6.475,31.43,1.533,0.02,0.001,0.024,0.007,1.619,1.1
NGC2799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.5
NGC2841,1.202,0.2795,198900000000,25900000000,102100000000,5106000000,97390000000,4870000000,4726000000,1098000000,9691000000,0,3249000000,0,1.053,0.178,0.211,0.033,49710000,5740000,12940000000,992500000,1.225,0.209,18.95,0.559,0.102,0.038,0.002,0.002,0.289,2.9
NGC2853,0.2647,0.02939,3300000000,922300000,4316000000,215800000,3276000000,163800000,1040000000,115500000,396500000,0,592400000,0,0.799,0.092,0.169,0.048,3475000,960500,988800000,105700000,1.407,0.502,19.41,1.195,0.112,0.03,0.003,0.003,0.399,-0.7
NGC2859,0.02346,0.01438,74820000000,7717000000,30810000000,1541000000,30720000000,1536000000,92210000,56530000,762700000,0,29170000,0,0.263,0.107,0.055,0.009,4350000,2227000,791900000,123600000,1.014,0.94,18.34,2.937,0.119,0.06,0.009,0.014,0.532,-1.2
NGC2907,0.05807,0.04199,107200000000,17400000000,44060000000,2203000000,43830000000,2192000000,228200000,165000000,1708000000,0,99330000,0,0.43,0.166,0.088,0.015,7013000,2121000,1807000000,224800000,1.173,0.456,18.81,1.262,0.081,0.048,0.013,0.013,0.381,1
NGC2915,0.04634,0.004366,301300000,100700000,622000000,31100000,439900000,31780000,182100000,17160000,15200000,0,34540000,0,0.19,0.03,0.037,0.012,37060,17410,49740000,6290000,8.219,5.178,26.33,2.865,0.04,0.026,0.003,0.003,0.136,1.6
NGC2950,0.0258,0.005303,34380000000,1847000000,13760000000,688100000,13660000000,683000000,101400000,20840000,162500000,0,16540000,0,0.14,0.055,0.026,0.006,865800,596100,179000000,36020000,1.03,3.848,18.39,11.87,0.047,0.039,0.184,0.139,1.077,-1.9
NGC2974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.3
NGC2976,0.1248,0.02076,978000000,189000000,2413000000,120700000,1923000000,96140000,490400000,81600000,384100000,0,399500000,0,1.526,0.122,0.27,0.053,1018000,58010,783500000,39180000,3.495,0.175,22.72,0.196,0.064,0.012,0.006,0.002,0.8,5.2
NGC2992,2.733,0.4855,60870000000,9437000000,59950000000,2998000000,49210000000,2991000000,10740000000,1908000000,14500000000,0,8977000000,0,1.974,0.142,0.592,0.049,13370000,934500,23480000000,1174000000,6.172,0.812,25.06,0.57,0.06,0.003,0.031,0.002,1.367,0.9
NGC2993,5.49,0.2745,4945000000,1491000000,42190000000,2109000000,20610000000,1121000000,21580000000,1079000000,9870000000,0,16730000000,0,1.936,0.122,0.536,0.092,5914000,295700,26600000000,1330000000,17.04,0.985,29.86,0.298,0.029,0.017,0.028,0.006,4.493,1.2
NGC3031,0.3452,0.1303,44560000000,6444000000,38550000000,1927000000,37190000000,1860000000,1357000000,512200000,3415000000,0,740400000,0,0.689,0.177,0.168,0.018,10510000,1639000,4155000000,260000000,1.891,0.282,20.43,0.526,0.092,0.016,0.002,0.002,1.717,2.4
NGC3034,4.483,0.5909,13120000000,3118000000,46650000000,2332000000,29030000000,1463000000,17620000000,2322000000,15760000000,0,16180000000,0,4.744,0.238,1.024,0.106,8274000,1469000,31940000000,1597000000,13.39,3.524,28.65,1.302,0.049,0.018,0.041,0.015,4.303,7.2
NGC3049,0.6169,0.04961,3269000000,774700000,7422000000,371100000,4997000000,249800000,2425000000,195000000,1131000000,0,1976000000,0,1.647,0.096,0.293,0.049,3421000,585100,3107000000,155400000,3.305,0.565,22.5,0.664,0.031,0.018,0.031,0.003,1.148,2.6
NGC3073,0.02434,0.01277,7143000000,1176000000,7740000000,387000000,7644000000,382200000,95650000,50200000,469900000,0,49280000,0,0.454,0.156,0.1,0.028,1221000,1300000,519200000,147300000,4.836,7.208,24.03,6.185,0.126,0.076,0.005,0.013,0.451,-2.7
NGC3077,0.1514,0.1107,2271000000,550900000,3877000000,410700000,3282000000,164100000,594900000,435000000,441500000,0,315400000,0,0.979,0.393,0.193,0.086,654400,104400,756900000,68660000,4.593,1.277,23.81,1.144,0.054,0.021,0.023,0.008,0.943,6.1
NGC3079,5.248,1.162,38540000000,9275000000,67430000000,8098000000,46810000000,4347000000,20620000000,4567000000,20440000000,0,18500000000,0,2.783,0.222,0.846,0.122,34230000,7346000,38940000000,7559000000,5.79,2.745,24.78,2.029,0.083,0.022,0.005,0.004,0.775,6.4
NGC3081,0.7639,0.5161,24170000000,8210000000,29730000000,2982000000,26720000000,2892000000,3002000000,2028000000,7301000000,0,2577000000,0,2.208,0.462,0.51,0.112,7589000,3237000,9878000000,2732000000,4.524,7.259,23.75,6.582,0.03,0.017,0.232,0.159,0.698,0
NGC3147,7.912,4.313,161700000000,26330000000,383900000000,19190000000,352800000000,23850000000,31090000000,16950000000,88490000000,0,26710000000,0,1.596,0.253,0.392,0.062,220200000,30780000,115200000000,9371000000,2.374,0.65,21.25,1.004,0.136,0.024,0.004,0.003,0.826,3.9
NGC3155,1.18,0.1902,10800000000,4278000000,18170000000,908600000,13530000000,1387000000,4639000000,747500000,2946000000,0,3212000000,0,1.229,0.134,0.315,0.076,16220000,3311000,6158000000,512700000,1.817,0.444,20.29,0.856,0.11,0.022,0.002,0.002,0.214,3.5
NGC3182,0.2708,0.06443,36410000000,7166000000,22540000000,1127000000,21470000000,1074000000,1064000000,253200000,1277000000,0,559700000,0,0.66,0.163,0.116,0.024,1908000,1020000,1836000000,282200000,5.513,4.046,24.58,3.115,0.078,0.037,0.011,0.013,0.539,0.3
NGC3184,1.656,0.211,17150000000,2722000000,29570000000,1478000000,23060000000,1153000000,6508000000,829200000,3599000000,0,4417000000,0,1.064,0.136,0.222,0.04,15350000,2218000,8015000000,847300000,2.559,0.732,21.52,1.063,0.02,0.001,0.006,0.002,4.104,5.9
NGC3185,0.3159,0.1379,16320000000,2706000000,16050000000,802300000,14800000000,740200000,1242000000,542000000,2827000000,0,1011000000,0,1.582,0.334,0.354,0.069,6659000,1749000,3838000000,681400000,2.665,1.324,21.68,1.86,0.084,0.021,0.014,0.008,0.694,1.2
NGC3187,1.423,0.1109,6004000000,1653000000,16020000000,800800000,10420000000,521200000,5592000000,435900000,2026000000,0,3829000000,0,1.111,0.104,0.235,0.045,17000000,3385000,5856000000,434900000,1.701,0.405,20.06,0.826,0.064,0.012,0.003,0.002,0.355,5
NGC3190,0.07831,0.07908,93270000000,16860000000,54850000000,2743000000,54550000000,2727000000,307800000,310800000,9320000000,0,262000000,0,1.772,0.513,0.41,0.028,14040000,1902000,9582000000,575900000,3.376,0.442,22.58,0.51,0.065,0.013,0.001,0.001,1.028,0.9
NGC3193,0.02012,0.02,202300000000,20800000000,80760000000,4038000000,80680000000,4034000000,79090000,78600000,280200000,0,6234000,0,0.037,0.063,0.008,0.012,169700,442500,286400000,447300000,17.98,23.45,30.14,6.79,0.135,0.128,0.06,0.125,5.211,-4.8
NGC3198,1.714,0.1777,14410000000,3902000000,24860000000,1243000000,18120000000,907000000,6736000000,698200000,2934000000,0,4895000000,0,1.185,0.106,0.221,0.051,16910000,937500,7829000000,391500000,1.988,0.132,20.61,0.235,0.089,0.019,0.008,0.002,0.384,5.2
NGC3226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-4.8
NGC3227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.5
NGC3245A,0.08491,0.02011,2950000000,790500000,3134000000,156700000,2800000000,140000000,333700000,79020000,245700000,0,174800000,0,0.663,0.143,0.137,0.037,5927000,3000000,420500000,74700000,0.402,0.25,15.63,1.683,0.095,0.056,0.007,0.01,0.683,3.3
NGC3252,0.2588,0.07815,4027000000,1174000000,5661000000,283100000,4644000000,468400000,1017000000,307100000,976100000,0,795900000,0,1.484,0.204,0.335,0.068,4008000,975200,1772000000,144200000,2.146,0.677,20.88,1.137,0.095,0.024,0.004,0.003,0.355,7.4
NGC3254,1.686,0.1971,46780000000,6900000000,46150000000,2307000000,39520000000,1976000000,6626000000,774700000,3459000000,0,3460000000,0,0.7,0.113,0.133,0.028,39390000,4661000,6919000000,386600000,0.833,0.141,17.73,0.52,0.103,0.011,0.001,0.001,0.383,4
NGC3256,63.17,5.71,27370000000,9751000000,454600000000,35880000000,206300000000,14930000000,248300000000,22440000000,145500000000,0,226500000000,0,4.548,0.363,1.179,0.182,62330000,10040000,371900000000,33380000000,24.52,6.821,31.8,1.528,0.02,0.001,0.026,0.007,1.738,4
NGC3277,0.1308,0.08546,28070000000,3606000000,22380000000,1119000000,21870000000,1093000000,514000000,335900000,1745000000,0,303600000,0,0.698,0.167,0.146,0.025,2975000,833500,2049000000,220300000,3.387,1.102,22.59,1.269,0.113,0.031,0.003,0.003,0.367,1.8
NGC3283,4.533,6.456,155000000000,66630000000,140300000000,45960000000,122500000000,24190000000,17810000000,25370000000,5079000000,0,2136000000,0,0.395,0.31,0.088,0.069,13450000,3281000,7214000000,945000000,2.717,0.814,21.75,1.125,0.076,0.038,0.002,0.002,0.353,-1.9
NGC3287,0.2467,0.04216,1676000000,354900000,4302000000,215100000,3333000000,168200000,969400000,165700000,780900000,0,673600000,0,1.289,0.14,0.319,0.065,3018000,343600,1455000000,84210000,2.143,0.466,20.88,0.784,0.088,0.021,0.007,0.004,0.505,7.6
NGC3294,3.921,0.4164,38630000000,7450000000,68650000000,3433000000,53250000000,2662000000,15410000000,1637000000,14730000000,0,12640000000,0,1.984,0.115,0.439,0.054,34210000,2239000,27380000000,1369000000,3.543,0.423,22.77,0.469,0.085,0.02,0.007,0.003,0.674,5.1
NGC3301,0.05196,0.01797,37510000000,4995000000,23920000000,1196000000,23720000000,1186000000,204200000,70620000,702700000,0,65940000,0,0.316,0.125,0.062,0.011,290300,152200,768700000,129000000,15.36,11.38,29.33,3.752,0.076,0.048,0.014,0.022,0.853,-0.4
NGC3338,2.286,0.5054,15130000000,1599000000,45130000000,2256000000,36140000000,1807000000,8984000000,1986000000,5962000000,0,6150000000,0,1.009,0.139,0.211,0.041,40320000,6625000,12110000000,1311000000,1.407,0.416,19.41,0.99,0.134,0.028,0.002,0.002,3.206,5
NGC3346,1.039,0.1029,10510000000,2042000000,19140000000,956800000,15050000000,752600000,4084000000,404600000,2252000000,0,2875000000,0,1.096,0.106,0.208,0.039,15220000,2648000,5127000000,372000000,1.506,0.409,19.64,0.92,0.131,0.029,0.006,0.005,0.447,5.9
NGC3348,0.2117,0.07782,212200000000,36820000000,84200000000,4210000000,83370000000,4169000000,832200000,305900000,101900000,0,18710000,0,0.017,0.03,0.003,0.005,603600,2335000,120600000,214500000,14.56,22.91,29.06,7.898,0.197,0.119,0.077,0.138,1.561,-4.8
NGC3351,1.081,0.2382,27440000000,6006000000,27980000000,1399000000,23730000000,1187000000,4248000000,936400000,4543000000,0,3438000000,0,1.723,0.251,0.333,0.067,8188000,737900,7981000000,959600000,4.205,1.129,23.45,1.087,0.054,0.017,0.013,0.004,0.491,3.1
NGC3353,1.075,0.05375,1200000000,327100000,9135000000,456700000,4910000000,245500000,4225000000,211200000,1470000000,0,3468000000,0,1.684,0.084,0.32,0.035,1086000,90120,4938000000,246900000,16.86,1.022,29.81,0.312,0.02,0.001,0.031,0.002,1.478,4.1
NGC3364,1.637,0.2307,17430000000,6980000000,24960000000,1248000000,18520000000,1703000000,6434000000,906800000,3719000000,0,4503000000,0,1.234,0.122,0.293,0.074,12860000,2466000,8222000000,629800000,3.004,0.709,22.13,0.903,0.086,0.021,0.005,0.004,0.693,5
NGC3370,3.017,0.2355,11430000000,3421000000,35720000000,1786000000,23860000000,1193000000,11860000000,925400000,5728000000,0,9622000000,0,1.56,0.123,0.31,0.051,20570000,2198000,15350000000,819900000,3.375,0.42,22.58,0.485,0.1,0.005,0.005,0.003,0.834,5.1
NGC3380,0.02009,0.004862,714600000,118000000,737200000,36860000,658300000,32910000,78940000,19110000,81720000,0,50870000,0,0.977,0.164,0.208,0.043,209900,47780,132600000,12020000,2.933,0.834,22.04,1.082,0.086,0.024,0.008,0.005,0.55,1
NGC3381,1.245,0.08641,4433000000,820200000,16590000000,829700000,11700000000,585100000,4892000000,339600000,2077000000,0,3349000000,0,1.091,0.107,0.201,0.035,7444000,1001000,5426000000,382900000,3.315,0.572,22.51,0.67,0.1,0.006,0.005,0.004,0.694,3.6
NGC3395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.8
NGC3396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.3
NGC3403,0.9999,0.1044,13070000000,4236000000,14810000000,740300000,10880000000,780700000,3930000000,410300000,1852000000,0,2674000000,0,1.088,0.115,0.265,0.052,14010000,3275000,4527000000,397700000,1.562,0.484,19.77,1.059,0.106,0.027,0.003,0.003,0.803,4
NGC3413,0.1607,0.04461,1041000000,112800000,3166000000,200400000,2535000000,126700000,631400000,175300000,275900000,0,332500000,0,0.645,0.178,0.125,0.04,1908000,908900,608400000,197600000,1.908,1.896,20.46,3.511,0.049,0.021,0.024,0.019,0.687,-1.1
NGC3414,0.1129,0.0124,115700000000,7689000000,42040000000,2102000000,41600000000,2080000000,443800000,48740000,482000000,0,60390000,0,0.126,0.054,0.026,0.008,1169000,1969000,542400000,159800000,13.03,20.09,28.51,7.596,0.195,0.104,0.071,0.119,0.627,-2
NGC3424,3.474,0.5641,21570000000,4568000000,43560000000,2491000000,29910000000,1648000000,13650000000,2217000000,13950000000,0,12790000000,0,3.543,0.222,0.948,0.089,19540000,2931000,26750000000,2445000000,6.411,1.788,25.22,1.215,0.064,0.012,0.007,0.003,0.781,3.1
NGC3430,3.209,0.4158,21940000000,6148000000,45460000000,2273000000,32850000000,1642000000,12610000000,1634000000,7508000000,0,9255000000,0,1.382,0.17,0.312,0.066,28860000,4798000,16760000000,1473000000,2.704,0.75,21.73,1.04,0.1,0.005,0.005,0.003,0.608,5.1
NGC3437,5.739,0.4381,20670000000,5010000000,60480000000,3024000000,37930000000,1896000000,22560000000,1722000000,15790000000,0,20380000000,0,2.761,0.138,0.675,0.066,15900000,1187000,36170000000,1808000000,9.913,0.706,27.2,0.335,0.061,0.005,0.011,0.004,0.928,5.2
NGC3440,0.8545,0.05298,2891000000,726800000,10880000000,544100000,7525000000,376200000,3358000000,208200000,961500000,0,1786000000,0,0.708,0.083,0.133,0.033,4313000,879900,2747000000,230000000,3.291,0.671,22.48,0.791,0.02,0.001,0.002,0.002,0.871,3.6
NGC3445,0.9854,0.04927,1780000000,247000000,9397000000,469900000,5524000000,276200000,3873000000,193600000,879600000,0,2201000000,0,0.808,0.057,0.143,0.02,2327000,145800,3081000000,154100000,6,0.334,24.94,0.24,0.06,0.003,0.007,0.002,1.054,8.8
NGC3448,2.058,0.2149,6241000000,1503000000,23430000000,1171000000,15340000000,767100000,8087000000,844700000,3892000000,0,6561000000,0,1.605,0.109,0.311,0.053,8833000,1348000,10450000000,640000000,5.295,1.125,24.4,0.896,0.06,0.004,0.01,0.004,0.728,3.8
NGC3454,0.1539,0.03597,3657000000,818200000,4237000000,211900000,3632000000,181600000,604800000,141400000,699800000,0,472200000,0,1.465,0.182,0.326,0.062,5043000,997100,1172000000,75030000,0.981,0.249,18.24,0.799,0.107,0.034,0.012,0.008,0.912,5.4
NGC3455,0.9578,0.06019,3313000000,884700000,12080000000,603900000,8314000000,415700000,3764000000,236600000,1305000000,0,2244000000,0,0.892,0.067,0.16,0.041,8383000,1112000,3548000000,209500000,1.985,0.346,20.6,0.619,0.068,0.017,0.005,0.003,0.417,3.1
NGC3458,0.002314,0.001782,28990000000,2181000000,13320000000,666000000,13310000000,665600000,9093000,7003000,34230000,0,496700,0,0.028,0.022,0.006,0.004,63730,171800,34730000,26480000,18,25.01,30.15,7.235,0.178,0.114,0.135,0.17,0.535,-2
NGC3485,1.193,0.2307,8960000000,2192000000,20470000000,1347000000,15780000000,841500000,4691000000,906700000,2596000000,0,3241000000,0,1.089,0.195,0.214,0.062,9150000,3208000,5838000000,1295000000,3.344,1.922,22.54,2.238,0.097,0.035,0.008,0.009,1.08,3.2
NGC3488,0.9402,0.08402,8408000000,1701000000,16730000000,836400000,13030000000,651600000,3695000000,330200000,2102000000,0,2397000000,0,1.018,0.123,0.218,0.039,11740000,2090000,4498000000,298900000,1.815,0.34,20.29,0.656,0.11,0.017,0.002,0.002,0.284,5.2
NGC3501,0.5189,0.07507,13850000000,2730000000,12630000000,631600000,10590000000,529600000,2040000000,295000000,2957000000,0,1685000000,0,1.91,0.134,0.57,0.065,11160000,1059000,4642000000,232100000,1.964,0.177,20.56,0.32,0.1,0.005,0.001,0.001,0.407,5.8
NGC3504,10.47,0.9677,31690000000,9203000000,125900000000,6295000000,84740000000,4237000000,41170000000,3803000000,33810000000,0,37680000000,0,2.682,0.134,0.622,0.058,24740000,2111000,71490000000,3804000000,10.36,1.851,27.4,0.846,0.059,0.007,0.031,0.005,0.81,2.1
NGC3512,0.943,0.08869,9041000000,1786000000,14260000000,713200000,10560000000,527900000,3706000000,348600000,1742000000,0,2491000000,0,1.087,0.098,0.236,0.041,5488000,347500,4233000000,211700000,3.506,0.217,22.73,0.242,0.103,0.01,0.003,0.002,0.389,5.1
NGC3516,3.499,1.159,180400000000,44020000000,162900000000,8147000000,149200000000,11190000000,13750000000,4556000000,23240000000,0,10150000000,0,1.311,0.185,0.28,0.045,10760000,6566000,33390000000,1903000000,5.147,7.558,24.29,6.16,0.154,0.037,0.35,0.141,0.633,-1.9
NGC3521,3.154,1.26,85710000000,16560000000,119100000000,5957000000,106800000000,5338000000,12400000000,4953000000,30450000000,0,11210000000,0,2.347,0.375,0.541,0.056,53730000,3309000,41660000000,2083000000,3.493,0.175,22.71,0.196,0.121,0.023,0.003,0.002,1.791,4
NGC3526,0.2136,0.03612,1872000000,571700000,4035000000,201700000,3195000000,159800000,839500000,142000000,491500000,0,536700000,0,0.982,0.17,0.2,0.048,2835000,572100,1028000000,108300000,1.775,0.517,20.21,1.017,0.058,0.02,0.005,0.004,0.618,5.3
NGC3547,0.5149,0.02989,1407000000,270100000,6226000000,311300000,4202000000,210100000,2023000000,117500000,1049000000,0,1525000000,0,1.45,0.123,0.282,0.042,1877000,215200,2574000000,161400000,6.466,1.326,25.26,0.895,0.059,0.006,0.005,0.003,0.473,3.4
NGC3564,0.122,0.05402,77270000000,11110000000,32410000000,1621000000,31930000000,1597000000,479300000,212300000,227500000,0,49270000,0,0.086,0.121,0.015,0.022,151800,411300,276700000,391000000,22.4,26.58,31.31,6.416,0.213,0.118,0.112,0.163,2.37,-2.1
NGC3592,0.07813,0.02682,2922000000,644200000,2854000000,142700000,2547000000,127300000,307100000,105400000,480900000,0,248600000,0,1.637,0.312,0.342,0.073,3626000,1214000,729500000,139800000,1.09,0.574,18.57,1.69,0.098,0.034,0.003,0.003,0.356,5.2
NGC3596,2.934,0.3507,20490000000,5064000000,46030000000,2301000000,34500000000,1725000000,11530000000,1378000000,5808000000,0,8031000000,0,1.118,0.138,0.221,0.047,32020000,4046000,13840000000,957700000,1.857,0.337,20.36,0.639,0.114,0.024,0.008,0.004,0.758,5.2
NGC3608,0.01145,0.008948,83210000000,5523000000,32000000000,1600000000,31950000000,1598000000,45010000,35170000,106900000,0,2820000,0,0.035,0.04,0.007,0.008,322600,903300,109700000,119600000,16.36,23.82,29.65,7.458,0.199,0.118,0.076,0.137,2.574,-4.8
NGC3610,0.01251,0.008126,106200000000,8651000000,70600000000,3530000000,70550000000,3528000000,49170000,31940000,431900000,0,4712000,0,0.055,0.024,0.013,0.004,1150000,1883000,436600000,135100000,13.54,21.99,28.7,8.049,0.135,0.087,0.09,0.128,0.577,-3.9
NGC3613,0.02381,0.01621,122500000000,11600000000,52600000000,2630000000,52510000000,2625000000,93580000,63710000,346700000,0,10120000,0,0.072,0.034,0.015,0.004,9007000,2589000,356800000,97050000,0.189,0.106,13.73,1.324,0.124,0.086,0.008,0.012,0.265,-4.5
NGC3619,0.1799,0.1019,72140000000,11730000000,44790000000,2239000000,44080000000,2204000000,707000000,400500000,3099000000,0,438300000,0,0.745,0.222,0.143,0.021,17000000,5593000,3538000000,461600000,0.876,0.342,17.89,1.204,0.165,0.058,0.014,0.014,0.58,-1
NGC3620,4.763,1.044,32490000000,10360000000,66830000000,3377000000,48110000000,3669000000,18720000000,4102000000,22200000000,0,17150000000,0,4.137,0.492,0.915,0.146,12380000,2076000,39360000000,3211000000,15.05,3.54,29.23,1.188,0.02,0.001,0.01,0.004,0.298,2
